            Time            Drag            Lift          ZForce
  0.99999998E-02   0.0000000       0.0000000       0.0000000    
  0.20000000E-01   0.0000000       0.0000000       0.0000000    
  0.29999999E-01   0.0000000       0.0000000       0.0000000    
  0.39999999E-01   0.0000000       0.0000000       0.0000000    
  0.49999999E-01   0.0000000       0.0000000       0.0000000    
  0.59999999E-01   0.0000000       0.0000000       0.0000000    
  0.69999998E-01   0.0000000       0.0000000       0.0000000    
  0.79999998E-01   0.0000000       0.0000000       0.0000000    
  0.89999998E-01   0.0000000       0.0000000       0.0000000    
  0.99999998E-01   0.0000000       0.0000000       0.0000000    
  0.11000000       0.0000000       0.0000000       0.0000000    
  0.12000000       0.0000000       0.0000000       0.0000000    
  0.13000000       0.0000000       0.0000000       0.0000000    
  0.14000000       0.0000000       0.0000000       0.0000000    
  0.15000000       0.0000000       0.0000000       0.0000000    
  0.16000000       0.0000000       0.0000000       0.0000000    
  0.17000000       0.0000000       0.0000000       0.0000000    
  0.18000000       0.0000000       0.0000000       0.0000000    
  0.19000000       0.0000000       0.0000000       0.0000000    
  0.20000000       0.0000000       0.0000000       0.0000000    
  0.21000000       0.0000000       0.0000000       0.0000000    
  0.22000000       0.0000000       0.0000000       0.0000000    
  0.22999999       0.0000000       0.0000000       0.0000000    
  0.23999999       0.0000000       0.0000000       0.0000000    
  0.24999999       0.0000000       0.0000000       0.0000000    
  0.25999999       0.0000000       0.0000000       0.0000000    
  0.26999999       0.0000000       0.0000000       0.0000000    
  0.27999999       0.0000000       0.0000000       0.0000000    
  0.28999999       0.0000000       0.0000000       0.0000000    
  0.29999999       0.0000000       0.0000000       0.0000000    
  0.30999999       0.0000000       0.0000000       0.0000000    
  0.31999999       0.0000000       0.0000000       0.0000000    
  0.32999999       0.0000000       0.0000000       0.0000000    
  0.33999999       0.0000000       0.0000000       0.0000000    
  0.34999999       0.0000000       0.0000000       0.0000000    
  0.35999999       0.0000000       0.0000000       0.0000000    
  0.36999999       0.0000000       0.0000000       0.0000000    
  0.37999999       0.0000000       0.0000000       0.0000000    
  0.38999999       0.0000000       0.0000000       0.0000000    
  0.39999999       0.0000000       0.0000000       0.0000000    
  0.40999999       0.0000000       0.0000000       0.0000000    
  0.41999999       0.0000000       0.0000000       0.0000000    
  0.42999999       0.0000000       0.0000000       0.0000000    
  0.43999999       0.0000000       0.0000000       0.0000000    
  0.44999999       0.0000000       0.0000000       0.0000000    
  0.45999999       0.0000000       0.0000000       0.0000000    
  0.46999999       0.0000000       0.0000000       0.0000000    
  0.47999999       0.0000000       0.0000000       0.0000000    
  0.48999999       0.0000000       0.0000000       0.0000000    
  0.49999999       0.0000000       0.0000000       0.0000000    
  0.50999999       0.0000000       0.0000000       0.0000000    
  0.51999999       0.0000000       0.0000000       0.0000000    
  0.52999999       0.0000000       0.0000000       0.0000000    
  0.53999999       0.0000000       0.0000000       0.0000000    
  0.54999999       0.0000000       0.0000000       0.0000000    
